,ranking,name
454,圏外,ダブラン
455,圏外,エモンガ
456,圏外,シュバルゴ
457,圏外,タマゲタケ
458,圏外,モロバレル
459,圏外,プルリル
460,圏外,デンチュラ
461,圏外,テッシード
462,圏外,ギアル
463,圏外,ギギアル
464,圏外,ギギギアル
465,圏外,リグレー
466,圏外,オーベム
467,圏外,ヒトモシ
468,圏外,ランプラー
469,圏外,キバゴ
470,圏外,オノンド
471,圏外,クマシュン
472,圏外,ツンベアー
473,圏外,フリージオ
474,圏外,チョボマキ
475,圏外,アギルダー
476,圏外,マッギョ
477,圏外,マッギョ
478,圏外,コジョンド
479,圏外,クリムガン
480,圏外,ゴルーグ
481,圏外,コマタナ
482,圏外,バッフロン
483,圏外,ワシボン
484,圏外,ウォーグル
485,圏外,バルチャイ
486,圏外,バルジーナ
487,圏外,クイタラン
488,圏外,モノズ
489,圏外,ジヘッド
490,圏外,メラルバ
491,圏外,コバルオン
492,圏外,テラキオン
493,圏外,ビリジオン
494,圏外,ランドロス
495,圏外,ホルビー
496,圏外,ヤヤコマ
497,圏外,ヒノヤコマ
498,圏外,ファイアロー
499,圏外,ヤンチャム
500,圏外,ゴロンダ
501,圏外,ニャスパー
502,圏外,ニャオニクス
503,圏外,ニダンギル
504,圏外,シュシュプ
505,圏外,フレフワン
506,圏外,ペロッパフ
507,圏外,ペロリーム
508,圏外,マーイーカ
509,圏外,カラマネロ
510,圏外,カメテテ
511,圏外,ガメノデス
512,圏外,クズモー
513,圏外,ドラミドロ
514,圏外,ウデッポウ
515,圏外,ブロスター
516,圏外,エリキテル
517,圏外,エレザード
518,圏外,チゴラス
519,圏外,アマルス
520,圏外,ルチャブル
521,圏外,デデンネ
522,圏外,メレシー
523,圏外,ヌメラ
524,圏外,ヌメイル
525,圏外,ボクレー
526,圏外,オーロット
527,圏外,バケッチャ
528,圏外,バケッチャ
529,圏外,バケッチャ
530,圏外,バケッチャ
531,圏外,パンプジン
532,圏外,パンプジン
533,圏外,パンプジン
534,圏外,パンプジン
535,圏外,オンバーン
536,圏外,モクロー
537,圏外,フクスロー
538,圏外,ジュナイパー
539,圏外,ニャビー
540,圏外,ニャヒート
541,圏外,アシマリ
542,圏外,オシャマリ
543,圏外,デンヂムシ
544,圏外,クワガノン
545,圏外,アブリー
546,圏外,アブリボン
547,圏外,イワンコ
548,圏外,ルガルガン
549,圏外,ルガルガン
550,圏外,ヨワシ
551,圏外,ヒドイデ
552,圏外,ドロバンコ
553,圏外,シズクモ
554,圏外,オニシズクモ
555,圏外,ラランテス
556,圏外,ネマシュ
557,圏外,マシェード
558,圏外,エンニュート
559,圏外,キテルグマ
560,圏外,アママイコ
561,圏外,アマージョ
562,圏外,ヤレユータン
563,圏外,ナゲツケサル
564,圏外,コソクムシ
565,圏外,グソクムシャ
566,圏外,スナバァ
567,圏外,シロデスナ
568,圏外,タイプ：ヌル
569,圏外,シルヴァディ
570,圏外,シルヴァディ
571,圏外,シルヴァディ
572,圏外,シルヴァディ
573,圏外,シルヴァディ
574,圏外,シルヴァディ
575,圏外,シルヴァディ
576,圏外,シルヴァディ
577,圏外,シルヴァディ
578,圏外,シルヴァディ
579,圏外,シルヴァディ
580,圏外,シルヴァディ
581,圏外,シルヴァディ
582,圏外,シルヴァディ
583,圏外,シルヴァディ
584,圏外,シルヴァディ
585,圏外,シルヴァディ
586,圏外,シルヴァディ
587,圏外,バクガメス
588,圏外,トゲデマル
589,圏外,ジジーロン
590,圏外,ダダリン
591,圏外,ジャラコ
592,圏外,ジャランゴ
593,圏外,ジャラランガ
594,圏外,アクジキング
595,圏外,ベベノム
596,圏外,サルノリ
597,圏外,バチンキー
598,圏外,ヒバニー
599,圏外,ラビフット
600,圏外,メッソン
601,圏外,ジメレオン
602,圏外,ホシガリス
603,圏外,ヨクバリス
604,圏外,ココガラ
605,圏外,アオガラス
606,圏外,サッチムシ
607,圏外,レドームシ
608,圏外,イオルブ
609,圏外,クスネ
610,圏外,フォクスライ
611,圏外,ワタシラガ
612,圏外,ウールー
613,圏外,バイウールー
614,圏外,カムカメ
615,圏外,カジリガメ
616,圏外,ワンパチ
617,圏外,パルスワン
618,圏外,タンドン
619,圏外,トロッゴン
620,圏外,セキタンザン
621,圏外,カジッチュ
622,圏外,アップリュー
623,圏外,タルップル
624,圏外,サダイジャ
625,圏外,ウッウ
626,圏外,サシカマス
627,圏外,カマスジョー
628,圏外,エレズン
629,圏外,ストリンダー
630,圏外,ヤクデ
631,圏外,マルヤクデ
632,圏外,オトスパス
633,圏外,ヤバチャ
634,圏外,ミブリム
635,圏外,テブリム
636,圏外,ベロバー
637,圏外,ギモー
638,圏外,ニャイキング
639,圏外,サニゴーン
640,圏外,ネギガナイト
641,圏外,バリコオル
642,圏外,デスバーン
643,圏外,マホミル
644,圏外,タイレーツ
645,圏外,バチンウニ
646,圏外,ユキハミ
647,圏外,モスノウ
648,圏外,イシヘンジン
649,圏外,イエッサン
650,圏外,イエッサン
651,圏外,モルペコ
652,圏外,ダイオウドウ
653,圏外,ウオチルドン
654,圏外,ドラメシヤ
655,圏外,ドロンチ
656,圏外,ダクマ
